source_file,relative_path,output_file,flattened_policy_chunks,num_steps,raw_motion_norm_mean,raw_motion_norm_max,adapted_motion_norm_mean,adapted_motion_norm_max,raw_motion_jump_mean,raw_motion_jump_max,adapted_motion_jump_mean,adapted_motion_jump_max,norm_clipped_count,jump_clipped_count,bound_clipped_count,gripper_thresholded_count
/home/lin17/openpi/results/libero_dataset_500/task0_ep0/actions.npy,task0_ep0/actions.npy,results_summary/action_adapter_demo/adapted/task0_ep0/adapted_actions.npy,False,141,0.7452208061295236,1.2966000558090134,0.7243740243223373,1.2707647611304684,0.16946766434294433,1.7713141655874831,0.14667937506051762,0.5000000166936704,0,6,60,141
/home/lin17/openpi/results/libero_dataset_500/task0_ep1/actions.npy,task0_ep1/actions.npy,results_summary/action_adapter_demo/adapted/task0_ep1/adapted_actions.npy,False,76,0.8728766096150751,1.1670273146937493,0.8620265881428234,1.1346362234073724,0.13309561337359738,0.40904089023246815,0.12327853269593142,0.33964150528834797,0,0,41,76
/home/lin17/openpi/results/libero_dataset_500/task0_ep10/actions.npy,task0_ep10/actions.npy,results_summary/action_adapter_demo/adapted/task0_ep10/adapted_actions.npy,False,104,0.8378019877706282,1.2467653240020435,0.8236569146377205,1.2290209923452966,0.14876204438786905,0.683199207742148,0.13694208938827254,0.5000000106785367,0,2,61,104
/home/lin17/openpi/results/libero_dataset_500/task0_ep11/actions.npy,task0_ep11/actions.npy,results_summary/action_adapter_demo/adapted/task0_ep11/adapted_actions.npy,False,73,0.9630826236344698,1.3138563784472639,0.9496889884764789,1.2958403144317558,0.14247854234500534,0.5274197608483796,0.1350500179790521,0.44179815089360974,0,0,43,73
/home/lin17/openpi/results/libero_dataset_500/task0_ep12/actions.npy,task0_ep12/actions.npy,results_summary/action_adapter_demo/adapted/task0_ep12/adapted_actions.npy,False,78,0.8654107901644295,1.2075826034486612,0.8548583987708909,1.2014423845066486,0.13287519245671,0.35134009122075854,0.12463381120401833,0.29434642612452666,0,0,53,78
/home/lin17/openpi/results/libero_dataset_500/task0_ep13/actions.npy,task0_ep13/actions.npy,results_summary/action_adapter_demo/adapted/task0_ep13/adapted_actions.npy,False,110,0.8637050964940713,1.2835860711765505,0.8434362074295235,1.224408470819857,0.13412682547394217,0.8718886331996565,0.12788054555991987,0.5000000129151323,0,3,73,110
/home/lin17/openpi/results/libero_dataset_500/task0_ep14/actions.npy,task0_ep14/actions.npy,results_summary/action_adapter_demo/adapted/task0_ep14/adapted_actions.npy,False,77,0.8674645462288199,1.1807618765379506,0.85600439310893,1.1597517060178715,0.13679247886297538,0.3325838268058633,0.1270354738986016,0.3084514650694885,0,0,35,77
/home/lin17/openpi/results/libero_dataset_500/task0_ep15/actions.npy,task0_ep15/actions.npy,results_summary/action_adapter_demo/adapted/task0_ep15/adapted_actions.npy,False,75,0.8643775656540846,1.1988006152643729,0.853422473092807,1.1790027047474974,0.13381953541793357,0.5023993251674181,0.12490322119056206,0.4561715827997036,0,0,45,75
/home/lin17/openpi/results/libero_dataset_500/task0_ep16/actions.npy,task0_ep16/actions.npy,results_summary/action_adapter_demo/adapted/task0_ep16/adapted_actions.npy,False,71,0.8747802203014963,1.1492977855333255,0.867221625905652,1.1179263137904052,0.12593847171197495,0.4787449984167088,0.11912104515653821,0.41036795123036734,0,0,38,71
/home/lin17/openpi/results/libero_dataset_500/task0_ep17/actions.npy,task0_ep17/actions.npy,results_summary/action_adapter_demo/adapted/task0_ep17/adapted_actions.npy,False,74,0.8814768465406746,1.1669282144888322,0.869326653894925,1.153936219213031,0.13582534447915462,0.3612549663822751,0.12623272582307626,0.31592020781508023,0,0,42,74
